hazard_id,session_id,hazard_type,severity,response_duration_sec,acknowledged,escalated,resolved
HZ-001,WS-001,proximity,high,3.09,1,1,1
HZ-002,WS-002,proximity,high,3.59,1,1,1
HZ-003,WS-003,proximity,high,2.65,1,0,1
HZ-004,WS-004,proximity,high,2.68,1,0,1
HZ-005,WS-005,proximity,high,2.29,1,0,1
HZ-006,WS-006,proximity,high,2.57,1,0,1
HZ-007,WS-007,proximity,high,2.41,1,0,1
HZ-008,WS-008,proximity,high,2.48,1,0,1
HZ-009,WS-009,proximity,high,2.43,1,0,1
HZ-010,WS-010,proximity,high,2.14,1,0,1
HZ-011,WS-011,proximity,high,2.45,1,0,1
HZ-012,WS-012,proximity,high,2.82,1,0,1
HZ-013,WS-013,proximity,high,2.96,1,0,1
HZ-014,WS-014,proximity,high,2.56,1,0,1
HZ-015,WS-015,proximity,high,2.4,1,0,1
HZ-016,WS-016,proximity,high,2.68,1,0,1
HZ-017,WS-017,proximity,high,2.36,1,0,1
HZ-018,WS-018,proximity,high,2.97,1,0,1
HZ-019,WS-019,proximity,high,2.07,1,0,1
HZ-020,WS-020,proximity,high,2.8,1,0,1
HZ-021,WS-021,proximity,high,3.39,1,1,1
HZ-022,WS-022,proximity,high,3.55,1,1,1
HZ-023,WS-023,proximity,high,3.05,1,1,1
HZ-024,WS-024,proximity,high,2.04,1,0,1
HZ-025,WS-025,proximity,high,2.75,1,0,1
HZ-026,WS-026,proximity,high,3.13,1,1,1
HZ-027,WS-027,proximity,high,2.21,1,0,1
HZ-028,WS-028,proximity,high,2.37,1,0,1
HZ-029,WS-029,proximity,high,2.56,1,0,1
HZ-030,WS-030,proximity,high,2.35,1,0,1
HZ-031,WS-031,proximity,high,2.75,1,0,1
HZ-032,WS-032,proximity,high,2.92,1,0,1
HZ-033,WS-033,proximity,high,2.74,1,0,1
HZ-034,WS-034,proximity,high,2.79,1,0,1
HZ-035,WS-035,proximity,high,3.0,1,0,1
HZ-036,WS-036,proximity,high,3.07,1,1,1
HZ-037,WS-037,proximity,high,2.56,1,0,1
HZ-038,WS-038,proximity,high,2.64,1,0,1
HZ-039,WS-039,proximity,high,2.38,1,0,1
HZ-040,WS-040,proximity,high,2.53,1,0,1
HZ-041,WS-041,proximity,high,3.25,1,1,1
HZ-042,WS-042,proximity,high,3.76,1,1,1
HZ-043,WS-043,proximity,high,2.83,1,0,1
HZ-044,WS-044,proximity,high,3.09,1,1,1
HZ-045,WS-045,proximity,high,2.95,1,0,1
HZ-046,WS-046,proximity,high,2.57,1,0,1
HZ-047,WS-047,proximity,high,2.72,1,0,1
HZ-048,WS-048,proximity,high,3.09,1,1,1
HZ-049,WS-049,proximity,high,1.98,1,0,1
HZ-050,WS-050,proximity,high,2.12,1,0,1
HZ-051,WS-051,proximity,high,2.85,1,0,1
HZ-052,WS-052,proximity,high,2.14,1,0,1
HZ-053,WS-053,proximity,high,2.78,1,0,1
HZ-054,WS-054,proximity,high,2.69,1,0,1
HZ-055,WS-055,proximity,high,2.38,1,0,1
HZ-056,WS-056,proximity,high,2.62,1,0,1
HZ-057,WS-057,proximity,high,2.87,1,0,1
HZ-058,WS-058,proximity,high,2.01,1,0,1
HZ-059,WS-059,proximity,high,2.7,1,0,1
HZ-060,WS-060,proximity,high,2.69,1,0,1
HZ-061,WS-061,proximity,high,3.39,1,1,1
HZ-062,WS-062,proximity,high,3.42,1,1,1
HZ-063,WS-063,proximity,high,2.77,1,0,1
HZ-064,WS-064,proximity,high,3.01,1,1,1
HZ-065,WS-065,proximity,high,2.51,1,0,1
HZ-066,WS-066,proximity,high,2.61,1,0,1
HZ-067,WS-067,proximity,high,2.69,1,0,1
HZ-068,WS-068,proximity,high,2.75,1,0,1
HZ-069,WS-069,proximity,high,2.47,1,0,1
HZ-070,WS-070,proximity,high,3.08,1,1,1
HZ-071,WS-071,proximity,high,2.91,1,0,1
HZ-072,WS-072,proximity,high,2.66,1,0,1
HZ-073,WS-073,proximity,high,2.25,1,0,1
HZ-074,WS-074,proximity,high,2.26,1,0,1
HZ-075,WS-075,proximity,high,2.97,1,0,1
HZ-076,WS-076,proximity,high,2.1,1,0,1
HZ-077,WS-077,proximity,high,2.21,1,0,1
HZ-078,WS-078,proximity,high,2.84,1,0,1
HZ-079,WS-079,proximity,high,2.78,1,0,1
HZ-080,WS-080,proximity,high,2.81,1,0,1
HZ-081,WS-081,proximity,high,3.27,1,1,1
HZ-082,WS-082,proximity,high,3.55,1,1,1
HZ-083,WS-083,proximity,high,3.01,1,1,1
HZ-084,WS-084,proximity,high,3.02,1,1,1
HZ-085,WS-085,proximity,high,2.35,1,0,1
HZ-086,WS-086,proximity,high,2.58,1,0,1
HZ-087,WS-087,proximity,high,2.3,1,0,1
HZ-088,WS-088,proximity,high,2.66,1,0,1
HZ-089,WS-089,proximity,high,2.49,1,0,1
HZ-090,WS-090,proximity,high,2.65,1,0,1
HZ-091,WS-091,proximity,high,2.86,1,0,1
HZ-092,WS-092,proximity,high,2.8,1,0,1
HZ-093,WS-093,proximity,high,2.96,1,0,1
HZ-094,WS-094,proximity,high,2.44,1,0,1
HZ-095,WS-095,proximity,high,2.93,1,0,1
HZ-096,WS-096,proximity,high,2.46,1,0,1
HZ-097,WS-097,proximity,high,2.65,1,0,1
HZ-098,WS-098,proximity,high,2.7,1,0,1
HZ-099,WS-099,proximity,high,3.06,1,1,1
HZ-100,WS-100,proximity,high,2.83,1,0,1
HZ-101,WS-101,proximity,high,3.06,1,1,1
HZ-102,WS-102,proximity,high,3.38,1,1,1
HZ-103,WS-103,proximity,high,2.56,1,0,1
HZ-104,WS-104,proximity,high,2.55,1,0,1
HZ-105,WS-105,proximity,high,2.94,1,0,1
HZ-106,WS-106,proximity,high,2.72,1,0,1
HZ-107,WS-107,proximity,high,2.71,1,0,1
HZ-108,WS-108,proximity,high,2.12,1,0,1
HZ-109,WS-109,proximity,high,3.16,1,1,1
HZ-110,WS-110,proximity,high,2.67,1,0,1
HZ-111,WS-111,proximity,high,2.8,1,0,1
HZ-112,WS-112,proximity,high,2.53,1,0,1
HZ-113,WS-113,proximity,high,2.12,1,0,1
HZ-114,WS-114,proximity,high,2.38,1,0,1
HZ-115,WS-115,proximity,high,2.52,1,0,1
HZ-116,WS-116,proximity,high,2.93,1,0,1
HZ-117,WS-117,proximity,high,2.54,1,0,1
HZ-118,WS-118,proximity,high,2.48,1,0,1
HZ-119,WS-119,proximity,high,2.13,1,0,1
HZ-120,WS-120,proximity,high,2.43,1,0,1
HZ-121,WS-121,proximity,high,3.32,1,1,1
HZ-122,WS-122,proximity,high,3.78,1,1,1
HZ-123,WS-123,proximity,high,3.02,1,1,1
HZ-124,WS-124,proximity,high,2.54,1,0,1
HZ-125,WS-125,proximity,high,2.62,1,0,1
HZ-126,WS-126,proximity,high,2.62,1,0,1
HZ-127,WS-127,proximity,high,2.67,1,0,1
HZ-128,WS-128,proximity,high,2.66,1,0,1
