cycle_id,session_id,cycle_number,phase,duration_sec
1,WS-001,1,ACQUIRE,32.7
2,WS-001,2,LIFT,30.1
3,WS-001,3,SWING,28.0
4,WS-001,4,DUMP,35.1
5,WS-001,5,RETURN,27.4
6,WS-002,1,ACQUIRE,26.1
7,WS-002,2,LIFT,35.1
8,WS-002,3,SWING,27.9
9,WS-002,4,DUMP,32.1
10,WS-002,5,RETURN,31.3
11,WS-003,1,ACQUIRE,32.3
12,WS-003,2,LIFT,33.1
13,WS-003,3,SWING,36.4
14,WS-003,4,DUMP,29.5
15,WS-003,5,RETURN,34.2
16,WS-004,1,ACQUIRE,36.2
17,WS-004,2,LIFT,36.0
18,WS-004,3,SWING,27.1
19,WS-004,4,DUMP,35.6
20,WS-004,5,RETURN,27.1
21,WS-005,1,ACQUIRE,31.3
22,WS-005,2,LIFT,34.8
23,WS-005,3,SWING,28.2
24,WS-005,4,DUMP,29.8
25,WS-005,5,RETURN,29.5
26,WS-006,1,ACQUIRE,26.4
27,WS-006,2,LIFT,26.4
28,WS-006,3,SWING,34.3
29,WS-006,4,DUMP,34.9
30,WS-006,5,RETURN,29.4
31,WS-007,1,ACQUIRE,26.2
32,WS-007,2,LIFT,31.4
33,WS-007,3,SWING,27.9
34,WS-007,4,DUMP,30.9
35,WS-007,5,RETURN,25.7
36,WS-008,1,ACQUIRE,35.1
37,WS-008,2,LIFT,34.8
38,WS-008,3,SWING,30.0
39,WS-008,4,DUMP,31.4
40,WS-008,5,RETURN,35.4
41,WS-009,1,ACQUIRE,32.9
42,WS-009,2,LIFT,32.9
43,WS-009,3,SWING,28.2
44,WS-009,4,DUMP,32.3
45,WS-009,5,RETURN,26.6
46,WS-010,1,ACQUIRE,27.6
47,WS-010,2,LIFT,27.2
48,WS-010,3,SWING,25.8
49,WS-010,4,DUMP,31.1
50,WS-010,5,RETURN,30.0
51,WS-011,1,ACQUIRE,32.8
52,WS-011,2,LIFT,31.3
53,WS-011,3,SWING,29.4
54,WS-011,4,DUMP,25.5
55,WS-011,5,RETURN,31.4
56,WS-012,1,ACQUIRE,28.0
57,WS-012,2,LIFT,28.4
58,WS-012,3,SWING,32.5
59,WS-012,4,DUMP,26.6
60,WS-012,5,RETURN,35.1
61,WS-013,1,ACQUIRE,25.9
62,WS-013,2,LIFT,25.7
63,WS-013,3,SWING,34.3
64,WS-013,4,DUMP,29.2
65,WS-013,5,RETURN,34.8
66,WS-014,1,ACQUIRE,26.0
67,WS-014,2,LIFT,32.2
68,WS-014,3,SWING,27.9
69,WS-014,4,DUMP,31.6
70,WS-014,5,RETURN,32.4
71,WS-015,1,ACQUIRE,29.3
72,WS-015,2,LIFT,35.3
