baseline_id,operator_id,scenario_id,metric_name,metric_value,sample_count,updated_at
1,OP-001,SCN-01,hazard_response,2.0,5,2026-09-23T08:00:00
2,OP-001,SCN-01,cycle_time,140,5,2026-09-23T08:00:00
3,OP-001,SCN-01,efficiency,88,5,2026-09-23T08:00:00
4,OP-001,SCN-01,safety,94,5,2026-09-23T08:00:00
5,OP-005,SCN-01,hazard_response,2.0,5,2026-09-23T08:00:00
6,OP-006,SCN-01,cycle_time,140,5,2026-09-23T08:00:00
7,OP-007,SCN-01,efficiency,88,5,2026-09-23T08:00:00
8,OP-008,SCN-01,safety,94,5,2026-09-23T08:00:00
9,OP-009,SCN-01,hazard_response,2.0,5,2026-09-23T08:00:00
10,OP-010,SCN-01,cycle_time,140,5,2026-09-23T08:00:00
11,OP-011,SCN-01,efficiency,88,5,2026-09-23T08:00:00
12,OP-012,SCN-01,safety,94,5,2026-09-23T08:00:00
13,OP-013,SCN-01,hazard_response,2.0,5,2026-09-23T08:00:00
14,OP-014,SCN-01,cycle_time,140,5,2026-09-23T08:00:00
15,OP-015,SCN-01,efficiency,88,5,2026-09-23T08:00:00
16,OP-016,SCN-01,safety,94,5,2026-09-23T08:00:00
17,OP-017,SCN-01,hazard_response,2.0,5,2026-09-23T08:00:00
18,OP-018,SCN-01,cycle_time,140,5,2026-09-23T08:00:00
19,OP-019,SCN-01,efficiency,88,5,2026-09-23T08:00:00
20,OP-020,SCN-01,safety,94,5,2026-09-23T08:00:00
21,OP-001,SCN-01,hazard_response,2.0,5,2026-09-23T08:00:00
22,OP-002,SCN-01,cycle_time,140,5,2026-09-23T08:00:00
23,OP-003,SCN-01,efficiency,88,5,2026-09-23T08:00:00
24,OP-004,SCN-01,safety,94,5,2026-09-23T08:00:00
25,OP-005,SCN-01,hazard_response,2.0,5,2026-09-23T08:00:00
26,OP-006,SCN-01,cycle_time,140,5,2026-09-23T08:00:00
27,OP-007,SCN-01,efficiency,88,5,2026-09-23T08:00:00
28,OP-008,SCN-01,safety,94,5,2026-09-23T08:00:00
29,OP-009,SCN-01,hazard_response,2.0,5,2026-09-23T08:00:00
30,OP-010,SCN-01,cycle_time,140,5,2026-09-23T08:00:00
31,OP-011,SCN-01,efficiency,88,5,2026-09-23T08:00:00
32,OP-012,SCN-01,safety,94,5,2026-09-23T08:00:00
