operator_id,scenario_id,average_task_time_hours,average_cycle_time_sec,average_hazard_response_sec,average_efficiency,average_safety,average_control_precision,consistency_score,sample_count
OP-001,SCN-01,7.2,140,2.0,88,94,87,92,5
OP-002,SCN-01,8.8,167.6,2.44,79.4,83.5,80.1,71.8,5
OP-003,SCN-01,8.3,153.1,2.6,87.8,91.2,84.1,65.6,5
OP-004,SCN-01,7.7,160.2,2.86,81.7,78.4,87.3,85.5,5
OP-005,SCN-01,8.4,162.9,2.18,80.4,86.0,77.6,89.9,5
OP-006,SCN-01,8.1,164.4,2.97,79.4,85.4,78.4,67.6,5
OP-007,SCN-01,7.5,152.3,2.5,83.3,85.2,87.2,65.9,5
OP-008,SCN-01,7.4,147.6,2.12,85.5,93.6,88.5,65.0,5
OP-009,SCN-01,8.9,153.9,2.05,80.4,89.2,82.0,76.1,5
OP-010,SCN-01,7.3,148.0,2.13,75.8,93.9,81.7,65.7,5
OP-011,SCN-01,8.5,164.0,2.71,76.2,78.2,80.2,70.6,5
OP-012,SCN-01,8.9,143.4,2.95,83.0,80.8,90.7,72.3,5
OP-013,SCN-01,8.6,152.5,2.48,79.4,86.2,74.9,69.8,5
OP-014,SCN-01,8.4,162.4,2.14,71.4,91.9,89.1,73.5,5
OP-015,SCN-01,8.8,148.0,2.0,84.5,93.1,83.6,81.5,5
OP-016,SCN-01,8.9,153.4,2.48,76.6,91.7,79.5,88.3,5
OP-017,SCN-01,8.9,169.4,2.24,77.7,93.4,80.2,73.0,5
OP-018,SCN-01,8.1,167.4,2.38,89.8,92.3,85.0,68.8,5
OP-019,SCN-01,9.1,143.8,2.97,76.6,79.8,88.9,67.5,5
OP-020,SCN-01,9.0,140.5,2.14,87.4,95.5,73.5,84.5,5
