reflection_id,session_id,operator_id,text,self_confidence,perceived_performance,hazard_awareness
RF-001,WS-001,OP-001,The task went well and I felt confident. I noticed the person nearby.,80.7,76.1,72.0
RF-002,WS-002,OP-002,The task went well and I felt confident. I noticed the person nearby.,71.9,68.6,87.6
RF-003,WS-003,OP-003,The task went well and I felt confident. I noticed the person nearby.,69.9,78.6,93.9
RF-004,WS-004,OP-004,The task went well and I felt confident. I noticed the person nearby.,84.8,67.9,72.2
RF-005,WS-005,OP-005,The task went well and I felt confident. I noticed the person nearby.,65.5,90.2,78.4
RF-006,WS-006,OP-006,The task went well and I felt confident. I noticed the person nearby.,91.2,71.4,77.5
RF-007,WS-007,OP-007,The task went well and I felt confident. I noticed the person nearby.,78.3,82.8,87.8
RF-008,WS-008,OP-008,The task went well and I felt confident. I noticed the person nearby.,86.1,88.1,81.8
RF-009,WS-009,OP-009,The task went well and I felt confident. I noticed the person nearby.,89.6,83.4,93.2
RF-010,WS-010,OP-010,The task went well and I felt confident. I noticed the person nearby.,87.4,72.3,84.4
RF-011,WS-011,OP-011,The task went well and I felt confident. I noticed the person nearby.,69.7,86.9,76.9
RF-012,WS-012,OP-012,The task went well and I felt confident. I noticed the person nearby.,82.0,76.1,87.9
RF-013,WS-013,OP-013,The task went well and I felt confident. I noticed the person nearby.,86.2,85.8,93.4
RF-014,WS-014,OP-014,The task went well and I felt confident. I noticed the person nearby.,82.3,69.9,91.5
RF-015,WS-015,OP-015,The task went well and I felt confident. I noticed the person nearby.,86.2,92.7,75.6
RF-016,WS-016,OP-016,The task went well and I felt confident. I noticed the person nearby.,77.4,87.8,78.1
RF-017,WS-017,OP-017,The task went well and I felt confident. I noticed the person nearby.,72.7,78.3,93.6
RF-018,WS-018,OP-018,The task went well and I felt confident. I noticed the person nearby.,78.0,73.2,86.0
RF-019,WS-019,OP-019,The task went well and I felt confident. I noticed the person nearby.,84.0,88.1,88.3
RF-020,WS-020,OP-020,The task went well and I felt confident. I noticed the person nearby.,74.8,65.6,94.4
RF-021,WS-021,OP-001,The task went well and I felt confident. I noticed the person nearby.,78.5,89.3,76.1
RF-022,WS-022,OP-002,The task went well and I felt confident. I noticed the person nearby.,87.4,86.1,83.2
RF-023,WS-023,OP-003,The task went well and I felt confident. I noticed the person nearby.,62.8,89.8,74.5
RF-024,WS-024,OP-004,The task went well and I felt confident. I noticed the person nearby.,84.7,70.1,70.2
RF-025,WS-025,OP-005,The task went well and I felt confident. I noticed the person nearby.,83.8,81.4,86.8
RF-026,WS-026,OP-006,The task went well and I felt confident. I noticed the person nearby.,85.0,68.6,87.2
RF-027,WS-027,OP-007,The task went well and I felt confident. I noticed the person nearby.,82.7,68.6,84.1
