event_id,session_id,timestamp,ambient_temp_c,humidity_pct,wind_speed_kmh,fuel_level_pct,fuel_rate_lph,engine_temp_c,hydraulic_load_pct,payload_pct,seatbelt_fastened,proximity_distance_m,cycle_phase
1,WS-001,2026-09-23T08:00:00,33.7,58,12,62.0,20.8,79.7,46.5,20,1,12,ACQUIRE
2,WS-001,2026-09-23T08:00:00,32.5,58,12,62.0,22.6,80.3,76.4,65,1,12,LIFT
3,WS-001,2026-09-23T08:00:00,32.9,58,12,62.0,22.6,80.5,77.0,65,1,12,SWING
4,WS-001,2026-09-23T08:00:00,33.7,58,12,61.9,20.8,79.7,47.2,20,1,12,DUMP
5,WS-001,2026-09-23T08:00:00,32.4,58,12,61.9,21.2,79.3,52.6,20,1,12,RETURN
6,WS-001,2026-09-23T08:00:00,32.7,58,12,61.9,21.0,79.4,50.8,20,1,12,ACQUIRE
7,WS-001,2026-09-23T08:00:00,33.5,58,12,61.9,22.6,80.8,76.1,65,1,12,LIFT
8,WS-001,2026-09-23T08:00:00,34.0,58,12,61.9,22.5,81.0,75.2,65,1,12,SWING
9,WS-001,2026-09-23T08:00:00,33.7,58,12,61.8,21.1,79.9,51.3,20,1,12,DUMP
10,WS-001,2026-09-23T08:00:00,33.0,58,12,61.8,20.8,79.4,46.8,20,1,12,RETURN
11,WS-001,2026-09-23T08:00:00,34.2,58,12,61.8,20.8,80.0,47.4,20,1,12,ACQUIRE
12,WS-001,2026-09-23T08:00:00,34.1,58,12,61.8,22.4,81.0,73.8,65,1,12,LIFT
13,WS-001,2026-09-23T08:00:00,34.0,58,12,61.8,22.4,80.9,73.4,65,1,12,SWING
14,WS-001,2026-09-23T08:00:00,34.5,58,12,61.7,20.9,80.2,47.6,20,1,12,DUMP
15,WS-001,2026-09-23T08:00:00,34.4,58,12,61.7,20.8,80.1,47.2,20,1,12,RETURN
16,WS-001,2026-09-23T08:00:00,33.5,58,12,61.7,20.8,79.6,46.0,20,1,12,ACQUIRE
17,WS-001,2026-09-23T08:00:00,33.4,58,12,61.7,22.3,80.5,71.0,65,1,12,LIFT
18,WS-001,2026-09-23T08:00:00,34.1,58,12,61.7,22.6,81.1,76.1,65,1,12,SWING
19,WS-001,2026-09-23T08:00:00,33.3,58,12,61.6,20.8,79.5,46.7,20,1,12,DUMP
20,WS-001,2026-09-23T08:00:00,33.9,58,12,61.6,21.0,80.0,50.8,20,1,12,RETURN
21,WS-001,2026-09-23T08:00:00,34.9,58,12,61.6,21.0,80.4,49.2,20,1,12,ACQUIRE
22,WS-001,2026-09-23T08:00:00,33.4,58,12,61.6,22.2,80.5,70.8,65,1,12,LIFT
23,WS-001,2026-09-23T08:00:00,33.2,58,12,61.6,22.3,80.5,71.8,65,1,12,SWING
24,WS-001,2026-09-23T08:00:00,33.1,58,12,61.5,20.7,79.4,45.1,20,1,12,DUMP
25,WS-001,2026-09-23T08:00:00,33.7,58,12,61.5,20.8,79.7,47.2,20,1,12,RETURN
26,WS-001,2026-09-23T08:00:00,34.5,58,12,61.5,21.0,80.2,49.4,20,1,6,ACQUIRE
27,WS-001,2026-09-23T08:00:00,33.9,58,12,61.5,22.3,80.8,71.0,65,1,6,LIFT
28,WS-001,2026-09-23T08:00:00,34.2,58,12,61.5,22.4,81.1,73.9,65,1,6,SWING
29,WS-001,2026-09-23T08:00:00,34.1,58,12,61.4,21.0,80.0,49.6,20,1,6,DUMP
30,WS-001,2026-09-23T08:00:00,33.2,58,12,61.4,20.9,79.5,48.5,20,1,6,RETURN
31,WS-001,2026-09-23T08:00:00,32.5,58,12,61.4,20.7,79.1,45.4,20,1,12,ACQUIRE
32,WS-001,2026-09-23T08:00:00,33.9,58,12,61.4,22.4,80.9,73.8,65,1,12,LIFT
33,WS-001,2026-09-23T08:00:00,33.6,58,12,61.4,22.4,80.7,73.2,65,1,12,SWING
