event_id,session_id,timestamp,ambient_temp_c,humidity_pct,wind_speed_kmh,fuel_level_pct,fuel_rate_lph,engine_temp_c,hydraulic_load_pct,payload_pct,seatbelt_fastened,proximity_distance_m,proximity_limit_m,proximity_closing_speed_mps,visibility,soil_type,ground_condition,tilt_deg,idle_seconds,fuel_per_cycle_l,unusual_pattern,cycle_phase
1,WS-001,2026-09-23T08:00:00,32.7,58,12,62.0,21.0,79.4,50.4,20,1,12,8,0,Good,Rocky,Hard,3.1,0,4.2,True,ACQUIRE
2,WS-001,2026-09-23T08:00:00,34.0,58,12,62.0,22.5,81.0,75.0,65,1,12,8,0,Good,Rocky,Hard,3.8,0,4.5,False,LIFT
3,WS-001,2026-09-23T08:00:00,33.2,58,12,62.0,22.5,80.6,74.3,65,1,12,8,0,Good,Rocky,Hard,3.2,0,4.49,False,SWING
4,WS-001,2026-09-23T08:00:00,32.8,58,12,61.9,21.0,79.4,50.5,20,1,12,8,0,Good,Rocky,Hard,2.6,0,4.21,False,DUMP
5,WS-001,2026-09-23T08:00:00,32.8,58,12,61.9,20.7,79.2,45.7,20,1,12,8,0,Good,Rocky,Hard,4.0,0,4.15,False,RETURN
6,WS-001,2026-09-23T08:00:00,34.0,58,12,61.9,21.0,80.0,50.6,20,1,12,8,0,Good,Rocky,Hard,2.2,0,4.21,False,ACQUIRE
7,WS-001,2026-09-23T08:00:00,32.9,58,12,61.9,22.3,80.3,72.4,65,1,12,8,0,Good,Rocky,Hard,2.1,0,4.47,False,LIFT
8,WS-001,2026-09-23T08:00:00,33.3,58,12,61.9,22.2,80.5,70.4,65,1,12,8,0,Good,Rocky,Hard,2.7,0,4.44,False,SWING
9,WS-001,2026-09-23T08:00:00,33.6,58,12,61.8,20.8,79.7,47.0,20,1,12,8,0,Good,Rocky,Hard,2.8,0,4.16,False,DUMP
10,WS-001,2026-09-23T08:00:00,34.1,58,12,61.8,20.8,79.9,46.4,20,1,12,8,0,Good,Rocky,Hard,2.4,0,4.16,False,RETURN
11,WS-001,2026-09-23T08:00:00,34.1,58,12,61.8,20.9,80.0,48.1,20,1,12,8,0,Good,Rocky,Hard,3.4,0,4.18,False,ACQUIRE
12,WS-001,2026-09-23T08:00:00,33.9,58,12,61.8,22.5,80.9,74.7,65,1,12,8,0,Good,Rocky,Hard,2.5,0,4.5,False,LIFT
13,WS-001,2026-09-23T08:00:00,34.2,58,12,61.8,22.4,81.0,73.7,65,1,12,8,0,Good,Rocky,Hard,3.3,0,4.48,False,SWING
14,WS-001,2026-09-23T08:00:00,34.8,58,12,61.7,20.9,80.3,48.7,20,1,12,8,0,Good,Rocky,Hard,2.6,0,4.18,False,DUMP
15,WS-001,2026-09-23T08:00:00,34.1,58,12,61.7,20.7,79.9,45.6,20,1,12,8,0,Good,Rocky,Hard,3.9,0,4.15,False,RETURN
16,WS-001,2026-09-23T08:00:00,35.0,58,12,61.7,20.8,80.4,47.4,20,1,12,8,0,Good,Rocky,Hard,3.9,0,4.17,False,ACQUIRE
17,WS-001,2026-09-23T08:00:00,34.4,58,12,61.7,22.4,81.1,73.7,65,1,12,8,0,Good,Rocky,Hard,2.6,0,4.48,False,LIFT
18,WS-001,2026-09-23T08:00:00,35.0,58,12,61.7,22.6,81.6,76.8,65,1,12,8,0,Good,Rocky,Hard,2.2,0,4.52,False,SWING
19,WS-001,2026-09-23T08:00:00,33.7,58,12,61.6,20.9,79.8,47.9,20,1,12,8,0,Good,Rocky,Hard,2.6,0,4.17,False,DUMP
20,WS-001,2026-09-23T08:00:00,34.3,58,12,61.6,20.7,80.0,45.2,20,1,12,8,0,Good,Rocky,Hard,3.7,0,4.14,False,RETURN
21,WS-001,2026-09-23T08:00:00,33.7,58,12,61.6,20.7,79.7,45.1,20,1,12,8,0,Good,Rocky,Hard,3.7,0,4.14,True,ACQUIRE
22,WS-001,2026-09-23T08:00:00,34.4,58,12,61.6,22.7,81.3,77.8,65,1,12,8,0,Good,Rocky,Hard,3.8,0,4.53,False,LIFT
23,WS-001,2026-09-23T08:00:00,34.3,58,12,61.6,22.6,81.2,76.7,65,1,12,8,0,Good,Rocky,Hard,3.8,0,4.52,False,SWING
24,WS-001,2026-09-23T08:00:00,34.3,58,12,61.5,20.8,80.0,46.8,20,1,12,8,0,Good,Rocky,Hard,3.6,0,4.16,False,DUMP
25,WS-001,2026-09-23T08:00:00,33.1,58,12,61.5,20.8,79.4,46.5,20,1,12,8,0,Good,Rocky,Hard,2.5,0,4.16,False,RETURN
26,WS-001,2026-09-23T08:00:00,34.1,58,12,61.5,21.1,80.1,51.1,20,1,6,8,0,Good,Rocky,Hard,3.4,0,4.21,False,ACQUIRE
27,WS-001,2026-09-23T08:00:00,32.8,58,12,61.5,22.2,80.2,70.8,65,1,6,8,0,Good,Rocky,Hard,3.3,0,4.45,False,LIFT
28,WS-001,2026-09-23T08:00:00,32.5,58,12,61.5,22.6,80.3,76.3,65,1,6,8,0,Good,Rocky,Hard,2.1,0,4.52,False,SWING
29,WS-001,2026-09-23T08:00:00,33.1,58,12,61.4,20.8,79.4,46.1,20,1,6,8,0,Good,Rocky,Hard,3.8,0,4.15,False,DUMP
30,WS-001,2026-09-23T08:00:00,32.9,58,12,61.4,20.9,79.4,48.3,20,1,6,8,0,Good,Rocky,Hard,2.4,0,4.18,False,RETURN
31,WS-001,2026-09-23T08:00:00,33.7,58,12,61.4,21.1,79.9,52.0,20,1,12,8,0,Good,Rocky,Hard,2.7,0,4.22,False,ACQUIRE
32,WS-001,2026-09-23T08:00:00,33.0,58,12,61.4,22.3,80.4,72.2,65,1,12,8,0,Good,Rocky,Hard,2.3,0,4.47,False,LIFT
33,WS-001,2026-09-23T08:00:00,33.8,58,12,61.4,22.7,81.0,77.6,65,1,12,8,0,Good,Rocky,Hard,3.9,0,4.53,False,SWING
34,WS-001,2026-09-23T08:00:00,32.4,58,12,61.3,21.1,79.3,52.0,20,1,12,8,0,Good,Rocky,Hard,3.6,0,4.22,False,DUMP
35,WS-001,2026-09-23T08:00:00,32.7,58,12,61.3,20.7,79.2,45.6,20,1,12,8,0,Good,Rocky,Hard,3.5,3,4.15,False,RETURN
36,WS-001,2026-09-23T08:00:00,32.1,58,12,61.3,21.0,79.1,50.4,20,1,12,8,0,Good,Rocky,Hard,3.3,0,4.2,False,ACQUIRE
37,WS-001,2026-09-23T08:00:00,32.4,58,12,61.3,22.6,80.3,76.8,65,1,12,8,0,Good,Rocky,Hard,3.1,0,4.52,False,LIFT
38,WS-001,2026-09-23T08:00:00,31.7,58,12,61.3,22.4,79.8,73.2,65,1,12,8,0,Good,Rocky,Hard,2.5,0,4.48,False,SWING
39,WS-001,2026-09-23T08:00:00,31.6,58,12,61.2,20.9,78.7,47.9,20,1,12,8,0,Good,Rocky,Hard,3.5,0,4.17,False,DUMP
40,WS-001,2026-09-23T08:00:00,31.8,58,12,61.2,20.9,78.8,48.0,20,1,12,8,0,Good,Rocky,Hard,3.3,0,4.18,False,RETURN
41,WS-001,2026-09-23T08:00:00,32.0,58,12,61.2,21.0,79.0,50.4,20,1,12,8,0,Good,Rocky,Hard,2.9,0,4.2,True,ACQUIRE
42,WS-001,2026-09-23T08:00:00,32.4,58,12,61.2,22.6,80.3,77.5,65,1,12,8,0,Good,Rocky,Hard,2.7,0,4.53,False,LIFT
43,WS-001,2026-09-23T08:00:00,32.3,58,12,61.2,22.5,80.2,75.2,65,1,12,8,0,Good,Rocky,Hard,3.3,0,4.5,False,SWING
44,WS-001,2026-09-23T08:00:00,32.0,58,12,61.1,21.0,79.0,50.6,20,1,12,8,0,Good,Rocky,Hard,3.3,0,4.21,False,DUMP
45,WS-001,2026-09-23T08:00:00,31.3,58,12,61.1,20.7,78.5,45.4,20,1,12,8,0,Good,Rocky,Hard,2.1,0,4.14,False,RETURN
46,WS-001,2026-09-23T08:00:00,33.0,58,12,61.1,20.8,79.3,45.9,20,1,12,8,0,Good,Rocky,Hard,2.5,0,4.15,False,ACQUIRE
