run_id,operator_id,scenario_id,score,hazard_response_sec,efficiency_score,safety_score,self_confidence,operator_profile
TR-0001,OP-001,SCN-01,82,2.52,82,92,90,BLIND_SPOT
TR-0002,OP-002,SCN-02,58,3.18,58,68,90,FAST_BUT_RISKY
TR-0003,OP-003,SCN-03,85.0,2.4,85.0,95.0,89.5,INCONSISTENT
TR-0004,OP-004,SCN-04,73.1,2.65,73.1,83.1,91.4,NORMAL
TR-0005,OP-005,SCN-05,68.7,2.6,68.7,78.7,79.8,SLOW_BUT_SAFE
TR-0006,OP-006,SCN-06,79.4,2.29,79.4,89.4,89.8,INCONSISTENT
TR-0007,OP-007,SCN-07,84.8,2.16,84.8,94.8,85.4,NORMAL
TR-0008,OP-008,SCN-08,61.1,3.02,61.1,71.1,80.3,SLOW_BUT_SAFE
TR-0009,OP-009,SCN-09,69.7,2.78,69.7,79.7,85.2,INCONSISTENT
TR-0010,OP-010,SCN-10,85.3,2.35,85.3,95.3,95.4,NORMAL
TR-0011,OP-011,SCN-11,68.5,2.76,68.5,78.5,84.7,SLOW_BUT_SAFE
TR-0012,OP-012,SCN-12,63.3,2.89,63.3,73.3,85.1,INCONSISTENT
TR-0013,OP-013,SCN-13,74.4,2.45,74.4,84.4,91.4,NORMAL
TR-0014,OP-014,SCN-14,82.9,2.21,82.9,92.9,91.8,SLOW_BUT_SAFE
TR-0015,OP-015,SCN-15,85.5,2.16,85.5,95.5,94.5,INCONSISTENT
TR-0016,OP-016,SCN-16,66.7,2.71,66.7,76.7,84.8,NORMAL
TR-0017,OP-017,SCN-17,66.4,3.01,66.4,76.4,83.8,SLOW_BUT_SAFE
TR-0018,OP-018,SCN-18,62.6,3.11,62.6,72.6,86.6,INCONSISTENT
TR-0019,OP-019,SCN-19,63.4,2.96,63.4,73.4,85.0,NORMAL
TR-0020,OP-020,SCN-20,60.5,3.13,60.5,70.5,77.3,SLOW_BUT_SAFE
TR-0021,OP-001,SCN-21,82,2.31,82,92,90,BLIND_SPOT
TR-0022,OP-002,SCN-22,58,3.06,58,68,90,FAST_BUT_RISKY
TR-0023,OP-003,SCN-23,76.8,2.72,76.8,86.8,92.3,SLOW_BUT_SAFE
TR-0024,OP-004,SCN-24,65.8,2.83,65.8,75.8,78.0,INCONSISTENT
TR-0025,OP-005,SCN-25,92.4,2.03,92.4,99,96.8,NORMAL
TR-0026,OP-006,SCN-26,84.4,2.46,84.4,94.4,93.3,SLOW_BUT_SAFE
TR-0027,OP-007,SCN-27,83.2,2.26,83.2,93.2,89.9,INCONSISTENT
TR-0028,OP-008,SCN-28,67.6,2.92,67.6,77.6,79.4,NORMAL
TR-0029,OP-009,SCN-29,62.1,2.8,62.1,72.1,80.5,SLOW_BUT_SAFE
TR-0030,OP-010,SCN-30,76.7,2.58,76.7,86.7,92.9,INCONSISTENT
TR-0031,OP-011,SCN-01,62.0,3.13,62.0,72.0,82.8,NORMAL
TR-0032,OP-012,SCN-02,62.4,3.12,62.4,72.4,77.7,SLOW_BUT_SAFE
TR-0033,OP-013,SCN-03,74.1,2.67,74.1,84.1,92.2,INCONSISTENT
TR-0034,OP-014,SCN-04,80.3,2.3,80.3,90.3,83.6,NORMAL
TR-0035,OP-015,SCN-05,83.0,2.31,83.0,93.0,90.8,SLOW_BUT_SAFE
TR-0036,OP-016,SCN-06,69.1,2.71,69.1,79.1,87.2,INCONSISTENT
TR-0037,OP-017,SCN-07,69.3,2.84,69.3,79.3,80.8,NORMAL
TR-0038,OP-018,SCN-08,76.0,2.76,76.0,86.0,92.7,SLOW_BUT_SAFE
TR-0039,OP-019,SCN-09,60.3,3.06,60.3,70.3,83.6,INCONSISTENT
TR-0040,OP-020,SCN-10,63.5,2.95,63.5,73.5,83.7,NORMAL
TR-0041,OP-001,SCN-11,82,2.27,82,92,90,BLIND_SPOT
TR-0042,OP-002,SCN-12,58,3.04,58,68,90,FAST_BUT_RISKY
TR-0043,OP-003,SCN-13,62.4,2.89,62.4,72.4,79.8,NORMAL
TR-0044,OP-004,SCN-14,75.3,2.53,75.3,85.3,87.9,SLOW_BUT_SAFE
TR-0045,OP-005,SCN-15,94.4,2.07,94.4,99,97.7,INCONSISTENT
TR-0046,OP-006,SCN-16,83.4,2.55,83.4,93.4,90.8,NORMAL
TR-0047,OP-007,SCN-17,63.6,2.85,63.6,73.6,87.8,SLOW_BUT_SAFE
TR-0048,OP-008,SCN-18,91.1,2.02,91.1,99,95.8,INCONSISTENT
TR-0049,OP-009,SCN-19,69.9,2.7,69.9,79.9,82.0,NORMAL
TR-0050,OP-010,SCN-20,84.1,2.36,84.1,94.1,94.7,SLOW_BUT_SAFE
TR-0051,OP-011,SCN-21,68.8,2.61,68.8,78.8,90.0,INCONSISTENT
TR-0052,OP-012,SCN-22,82.2,2.23,82.2,92.2,93.7,NORMAL
TR-0053,OP-013,SCN-23,71.7,2.9,71.7,81.7,81.7,SLOW_BUT_SAFE
TR-0054,OP-014,SCN-24,65.7,2.96,65.7,75.7,83.3,INCONSISTENT
TR-0055,OP-015,SCN-25,79.6,2.66,79.6,89.6,84.2,NORMAL
TR-0056,OP-016,SCN-26,84.2,2.17,84.2,94.2,86.3,SLOW_BUT_SAFE
TR-0057,OP-017,SCN-27,72.9,2.65,72.9,82.9,87.2,INCONSISTENT
TR-0058,OP-018,SCN-28,61.5,3.17,61.5,71.5,80.9,NORMAL
TR-0059,OP-019,SCN-29,94.0,2.01,94.0,99,88.4,SLOW_BUT_SAFE
TR-0060,OP-020,SCN-30,83.9,2.3,83.9,93.9,92.4,INCONSISTENT
TR-0061,OP-001,SCN-01,82,2.44,82,92,90,BLIND_SPOT
TR-0062,OP-002,SCN-02,58,3.25,58,68,90,FAST_BUT_RISKY
TR-0063,OP-003,SCN-03,94.1,2.24,94.1,99,96.9,INCONSISTENT
TR-0064,OP-004,SCN-04,68.3,2.93,68.3,78.3,80.9,NORMAL
TR-0065,OP-005,SCN-05,66.2,2.74,66.2,76.2,83.1,SLOW_BUT_SAFE
TR-0066,OP-006,SCN-06,92.4,2.08,92.4,99,96.7,INCONSISTENT
TR-0067,OP-007,SCN-07,83.4,2.27,83.4,93.4,93.0,NORMAL
TR-0068,OP-008,SCN-08,65.6,2.84,65.6,75.6,86.4,SLOW_BUT_SAFE
TR-0069,OP-009,SCN-09,61.4,2.88,61.4,71.4,82.1,INCONSISTENT
TR-0070,OP-010,SCN-10,92.1,2.25,92.1,99,91.4,NORMAL
TR-0071,OP-011,SCN-11,90.5,2.24,90.5,99,89.3,SLOW_BUT_SAFE
TR-0072,OP-012,SCN-12,73.9,2.47,73.9,83.9,84.2,INCONSISTENT
TR-0073,OP-013,SCN-13,87.1,2.27,87.1,97.1,89.7,NORMAL
TR-0074,OP-014,SCN-14,83.8,2.3,83.8,93.8,94.4,SLOW_BUT_SAFE
TR-0075,OP-015,SCN-15,61.0,2.92,61.0,71.0,86.9,INCONSISTENT
TR-0076,OP-016,SCN-16,80.3,2.28,80.3,90.3,94.9,NORMAL
TR-0077,OP-017,SCN-17,80.9,2.56,80.9,90.9,87.5,SLOW_BUT_SAFE
TR-0078,OP-018,SCN-18,75.3,2.45,75.3,85.3,93.2,INCONSISTENT
TR-0079,OP-019,SCN-19,91.5,1.96,91.5,99,89.3,NORMAL
TR-0080,OP-020,SCN-20,75.3,2.73,75.3,85.3,87.6,SLOW_BUT_SAFE
TR-0081,OP-001,SCN-21,82,2.49,82,92,90,BLIND_SPOT
TR-0082,OP-002,SCN-22,58,3.28,58,68,90,FAST_BUT_RISKY
TR-0083,OP-003,SCN-23,85.8,2.28,85.8,95.8,87.4,SLOW_BUT_SAFE
TR-0084,OP-004,SCN-24,93.2,2.14,93.2,99,98.7,INCONSISTENT
TR-0085,OP-005,SCN-25,83.2,2.54,83.2,93.2,85.6,NORMAL
TR-0086,OP-006,SCN-26,77.7,2.47,77.7,87.7,90.2,SLOW_BUT_SAFE
