session_id,operator_id,machine_id,task_id,actual_time_min,actual_time_hours,overall_score,safety_score,efficiency_score,operator_profile,status
WS-001,OP-001,M-1,T-001,606.0,10.1,66.0,72,61,demo,Completed
WS-002,OP-002,M-3,T-002,1440.0,24.0,49.2,58,42,blind_spot,Completed
WS-003,OP-003,M-5,T-003,492.0,8.2,76.4,79.4,73.9,normal,Completed
WS-004,OP-004,M-1,T-004,504.0,8.4,81.7,84.7,79.2,normal,Completed
WS-005,OP-005,M-3,T-005,504.0,8.4,92.4,95.9,89.6,normal,Completed
WS-006,OP-006,M-5,T-006,612.0,10.2,79.3,85.6,74.2,normal,Completed
WS-007,OP-007,M-1,T-007,564.0,9.4,80.5,73.0,86.7,normal,Completed
WS-008,OP-008,M-3,T-008,450.0,7.5,90.6,89.1,91.9,normal,Completed
WS-009,OP-009,M-5,T-009,516.0,8.6,83.9,93.2,76.2,normal,Completed
WS-010,OP-010,M-1,T-010,564.0,9.4,81.3,74.5,86.9,normal,Completed
WS-011,OP-011,M-3,T-011,474.0,7.9,76.3,74.2,78.1,normal,Completed
WS-012,OP-012,M-5,T-012,576.0,9.6,79.0,91.3,68.9,normal,Completed
WS-013,OP-013,M-1,T-013,588.0,9.8,74.2,87.9,62.9,normal,Completed
WS-014,OP-014,M-3,T-014,588.0,9.8,82.7,92.8,74.5,normal,Completed
WS-015,OP-015,M-5,T-015,438.0,7.3,84.6,91.8,78.7,normal,Completed
WS-016,OP-016,M-1,T-016,498.0,8.3,76.4,79.6,73.8,normal,Completed
WS-017,OP-017,M-3,T-017,576.0,9.6,82.1,77.3,86.0,normal,Completed
WS-018,OP-018,M-5,T-018,600.0,10.0,77.5,79.0,76.2,normal,Completed
WS-019,OP-019,M-1,T-019,606.0,10.1,86.6,85.1,87.8,normal,Completed
WS-020,OP-020,M-3,T-020,570.0,9.5,79.0,92.7,67.7,normal,Completed
WS-021,OP-001,M-5,T-021,558.0,9.3,66.0,72,61,demo,Completed
WS-022,OP-002,M-1,T-022,540.0,9.0,49.2,58,42,blind_spot,Completed
WS-023,OP-003,M-3,T-023,594.0,9.9,71.6,76.2,67.9,normal,Completed
WS-024,OP-004,M-5,T-024,474.0,7.9,85.9,81.0,89.9,normal,Completed
WS-025,OP-005,M-1,T-025,540.0,9.0,76.7,82.7,71.8,normal,Completed
WS-026,OP-006,M-3,T-026,486.0,8.1,77.3,89.5,67.3,normal,Completed
WS-027,OP-007,M-5,T-027,462.0,7.7,84.1,85.3,83.2,normal,Completed
WS-028,OP-008,M-1,T-028,486.0,8.1,85.4,92.4,79.6,normal,Completed
WS-029,OP-009,M-3,T-029,450.0,7.5,80.5,86.3,75.8,normal,Completed
WS-030,OP-010,M-5,T-030,474.0,7.9,81.4,83.7,79.5,normal,Completed
WS-031,OP-011,M-1,T-031,576.0,9.6,79.8,76.9,82.1,normal,Completed
WS-032,OP-012,M-3,T-032,534.0,8.9,75.6,84.1,68.7,normal,Completed
WS-033,OP-013,M-5,T-033,564.0,9.4,78.1,75.6,80.1,normal,Completed
WS-034,OP-014,M-1,T-034,558.0,9.3,72.6,79.1,67.3,normal,Completed
WS-035,OP-015,M-3,T-035,438.0,7.3,84.4,95.9,74.9,normal,Completed
WS-036,OP-016,M-5,T-036,516.0,8.6,81.0,94.4,70.1,normal,Completed
WS-037,OP-017,M-1,T-037,468.0,7.8,73.4,73.2,73.6,normal,Completed
WS-038,OP-018,M-3,T-038,498.0,8.3,82.6,78.3,86.1,normal,Completed
WS-039,OP-019,M-5,T-039,468.0,7.8,85.5,80.4,89.7,normal,Completed
WS-040,OP-020,M-1,T-040,486.0,8.1,81.9,84.2,80.0,normal,Completed
WS-041,OP-001,M-3,T-041,564.0,9.4,66.0,72,61,demo,Completed
WS-042,OP-002,M-5,T-042,450.0,7.5,49.2,58,42,blind_spot,Completed
WS-043,OP-003,M-1,T-043,438.0,7.3,68.9,75.2,63.7,normal,Completed
WS-044,OP-004,M-3,T-044,492.0,8.2,73.3,75.2,71.7,normal,Completed
WS-045,OP-005,M-5,T-045,468.0,7.8,72.1,75.1,69.6,normal,Completed
WS-046,OP-006,M-1,T-046,486.0,8.1,89.0,95.7,83.6,normal,Completed
WS-047,OP-007,M-3,T-047,468.0,7.8,79.7,81.8,77.9,normal,Completed
WS-048,OP-008,M-5,T-048,462.0,7.7,77.0,92.2,64.5,normal,Completed
WS-049,OP-009,M-1,T-049,456.0,7.6,89.1,87.4,90.5,normal,Completed
WS-050,OP-010,M-3,T-050,474.0,7.9,81.0,72.5,87.9,normal,Completed
WS-051,OP-011,M-5,T-051,432.0,7.2,72.4,73.6,71.4,normal,Completed
WS-052,OP-012,M-1,T-052,498.0,8.3,86.8,85.3,88.0,normal,Completed
WS-053,OP-013,M-3,T-053,516.0,8.6,77.9,92.3,66.1,normal,Completed
WS-054,OP-014,M-5,T-054,438.0,7.3,79.0,72.8,84.1,normal,Completed
WS-055,OP-015,M-1,T-055,498.0,8.3,87.2,94.7,81.1,normal,Completed
WS-056,OP-016,M-3,T-056,498.0,8.3,77.7,85.1,71.6,normal,Completed
WS-057,OP-017,M-5,T-057,480.0,8.0,72.7,77.3,68.9,normal,Completed
WS-058,OP-018,M-1,T-058,558.0,9.3,85.6,78.7,91.3,normal,Completed
WS-059,OP-019,M-3,T-059,540.0,9.0,78.3,86.3,71.8,normal,Completed
WS-060,OP-020,M-5,T-060,606.0,10.1,77.6,80.8,74.9,normal,Completed
WS-061,OP-001,M-1,T-061,450.0,7.5,66.0,72,61,demo,Completed
WS-062,OP-002,M-3,T-062,606.0,10.1,49.2,58,42,blind_spot,Completed
WS-063,OP-003,M-5,T-063,570.0,9.5,81.1,91.3,72.8,normal,Completed
WS-064,OP-004,M-1,T-064,504.0,8.4,79.0,93.8,66.8,normal,Completed
WS-065,OP-005,M-3,T-065,486.0,8.1,85.0,89.7,81.1,normal,Completed
WS-066,OP-006,M-5,T-066,498.0,8.3,78.3,73.0,82.7,normal,Completed
WS-067,OP-007,M-1,T-067,564.0,9.4,72.4,77.7,68.1,normal,Completed
WS-068,OP-008,M-3,T-068,528.0,8.8,83.9,86.5,81.8,normal,Completed
WS-069,OP-009,M-5,T-069,438.0,7.3,88.4,90.3,86.9,normal,Completed
WS-070,OP-010,M-1,T-070,588.0,9.8,70.4,74.2,67.3,normal,Completed
WS-071,OP-011,M-3,T-071,564.0,9.4,79.0,89.9,70.0,normal,Completed
WS-072,OP-012,M-5,T-072,480.0,8.0,77.3,81.8,73.7,normal,Completed
WS-073,OP-013,M-1,T-073,522.0,8.7,86.7,86.1,87.2,normal,Completed
WS-074,OP-014,M-3,T-074,534.0,8.9,80.1,74.2,84.9,normal,Completed
WS-075,OP-015,M-5,T-075,564.0,9.4,80.1,87.6,74.0,normal,Completed
WS-076,OP-016,M-1,T-076,462.0,7.7,83.2,72.8,91.8,normal,Completed
WS-077,OP-017,M-3,T-077,474.0,7.9,87.2,83.5,90.2,normal,Completed
WS-078,OP-018,M-5,T-078,546.0,9.1,81.1,83.2,79.4,normal,Completed
WS-079,OP-019,M-1,T-079,486.0,8.1,77.2,72.0,81.5,normal,Completed
WS-080,OP-020,M-3,T-080,582.0,9.7,81.0,80.7,81.2,normal,Completed
WS-081,OP-001,M-5,T-081,438.0,7.3,66.0,72,61,demo,Completed
WS-082,OP-002,M-1,T-082,600.0,10.0,49.2,58,42,blind_spot,Completed
WS-083,OP-003,M-3,T-083,588.0,9.8,70.5,79.3,63.3,normal,Completed
WS-084,OP-004,M-5,T-084,486.0,8.1,82.1,94.5,72.0,normal,Completed
WS-085,OP-005,M-1,T-085,540.0,9.0,88.4,89.6,87.5,normal,Completed
